79
2100 2550
1055 1055 4
1001 991 1
991 1081 1
902 1402 2
897 897 2
881 467 2
881 367 1
801 1404 3
801 684 2
751 1404 3
751 684 2
736 1404 1
736 684 1
686 1404 1
686 684 1
661 2400 1
561 2350 2
556 1410 3
556 690 2
548 443 5
542 1630 1
542 901 2
542 713 3
542 663 2
530 1410 3
530 690 2
525 1410 3
530 690 2
521 1001 2
511 2367 1
511 717 2
498 2047 2
498 1997 2
498 1407 2
498 1117 15
481 657 5
467 1487 3
467 503 3
461 267 1
456 1410 1
456 690 1
448 2367 8
448 637 1
445 998 1
445 748 4
445 498 1
445 467 3
430 1410 1
430 690 1
425 1410 1
425 690 1
411 366 1
408 637 1
398 2047 2
398 998 1
351 2400 1
351 541 2
348 2127 2
325 498 6
318 1918 1
318 798 1
318 712 1
318 662 1
318 497 1
318 298 1
317 478 8
297 353 2
251 2400 4
251 2160 2
251 1441 8
251 467 1
250 451 1
250 411 1
248 2367 1
206 2400 4
201 466 1
182 991 2
109 326 2
461 467 1
