107
2100 2550
1111 2040 1
1111 1940 1
1102 2040 2
1102 1940 1
1071 1071 4
1021 2001 1
1002 1751 1
1002 1681 1
1001 1391 1
976 486 1
961 718 4
961 468 6
952 2040 2
918 1418 2
913 913 2
911 2002 3
902 1081 1
881 641 6
879 467 2
879 367 1
851 1921 3
851 1821 4
835 1888 3
835 1788 4
771 1001 3
752 1681 2
752 1441 2
752 1081 1
751 1121 1
751 1001 3
721 1001 2
691 1001 2
691 501 1
671 2251 1
671 2001 3
671 1501 2
671 1401 1
671 1366 1
671 1001 3
671 551 1
641 2040 3
611 2001 1
565 443 2
561 2400 1
561 2160 1
559 713 2
559 663 2
543 2400 2
543 2160 1
543 1441 4
511 720 1
509 717 1
502 1681 1
502 1441 1
502 1081 1
498 881 1
498 815 1
495 967 2
487 2356 5
487 2116 4
481 2040 1
481 1940 3
464 1111 2
464 991 1
461 401 1
459 967 5
459 267 1
450 1962 4
437 2116 4
418 1131 1
418 1065 1
392 557 2
391 1001 4
391 751 4
391 501 1
387 2116 4
385 2160 2
378 981 1
378 915 1
373 768 2
368 966 1
368 721 2
367 721 1
361 1752 1
361 1502 1
352 557 2
351 721 1
333 768 2
329 1001 12
329 341 2
304 1111 2
281 858 2
281 721 2
268 1131 1
268 1065 1
251 721 2
249 467 1
201 2441 2
201 721 3
191 2170 1
151 2441 1
145 720 1
101 2411 1
101 2410 1
101 1251 1
91 731 1
461 481 1
