134
2100 2550
1501 1751 1
1501 1501 1
1501 1301 1
1501 1001 1
1201 1773 1
1201 1201 1
1171 1511 1
1151 991 1
1151 751 3
1101 1661 1
1001 2254 1
1001 2253 4
1001 752 2
1001 751 3
1001 591 11
997 171 4
814 1492 1
751 2253 1
751 2002 3
751 1802 1
751 1752 3
751 1502 5
751 1252 2
751 1002 1
701 2501 1
701 2253 1
701 2251 2
701 1201 1
610 1382 2
610 1182 2
610 782 2
606 1801 1
601 2370 2
601 2270 1
601 1841 1
601 1402 2
601 1202 3
601 802 2
581 1602 1
579 1378 1
551 2504 2
551 2501 1
551 2254 1
551 2003 2
551 1801 1
551 1753 1
551 1653 1
551 1366 4
551 1251 2
551 1166 2
551 1152 1
551 1002 1
551 981 1
551 852 1
551 766 1
551 501 5
551 500 5
551 246 2
545 126 1
531 1505 1
531 741 1
531 209 2
521 2001 1
501 2002 1
501 1002 1
501 752 1
500 890 1
486 255 4
481 2241 1
481 1753 1
481 1505 1
481 1501 2
481 1305 1
481 1002 1
481 905 1
481 802 1
481 486 2
461 721 1
443 605 1
429 1840 1
422 581 2
401 1403 1
401 1001 2
401 971 2
401 721 1
399 2006 3
383 902 1
331 1681 5
321 442 1
317 2401 4
317 2191 2
317 1681 5
317 1441 2
315 725 6
315 401 15
304 1111 3
301 2391 6
301 1971 1
301 1061 1
301 1001 1
299 1001 7
299 855 6
299 771 7
299 691 14
291 2431 3
291 1841 1
289 751 7
289 485 8
281 2252 1
281 1642 1
281 802 2
281 722 3
281 642 1
255 1745 1
253 1002 2
253 532 1
253 470 4
250 902 1
249 962 2
248 1002 2
233 492 6
221 852 1
203 702 2
201 2201 2
191 1840 2
191 1151 2
191 1002 1
191 1001 4
191 721 1
161 348 3
151 1376 2
128 835 2
101 1301 1
1151 2451 1
