54
2100 2550
1801 221 2
1055 1055 2
1001 721 1
902 1402 1
801 1404 1
801 721 1
751 1404 1
556 1025 2
542 2338 1
542 1668 1
542 963 2
542 901 1
542 613 1
530 1025 2
528 637 2
525 1025 2
520 2400 1
498 1407 1
498 1167 1
481 2003 2
481 512 6
448 2367 2
448 2127 3
448 1407 2
445 998 1
445 498 2
445 480 2
411 366 1
398 1407 2
398 477 1
388 633 1
382 2400 1
353 539 3
351 541 1
321 2003 5
317 898 2
317 798 2
314 2038 1
314 1998 3
298 637 3
297 353 1
251 2400 2
251 321 4
250 531 2
250 301 3
206 2160 1
171 721 1
161 2400 1
101 2001 2
728 835 2
380 1980 1
380 1860 2
380 1820 6
380 880 6
