82
2100 2550
1113 1113 2
1055 1055 8
991 1741 1
951 2411 2
902 1402 7
901 2160 4
897 897 2
882 763 1
882 463 4
801 1164 2
751 2441 1
751 1164 2
701 721 2
637 998 2
637 498 18
636 2400 2
636 2300 1
601 2400 3
601 2300 1
570 2400 1
561 1940 4
561 1691 2
561 1467 1
561 1217 2
561 717 2
553 2370 1
553 2270 1
542 1668 1
542 1630 3
542 963 2
542 713 6
542 691 1
542 613 2
542 303 3
531 481 4
531 367 1
521 1001 3
511 2367 1
501 701 1
498 1907 2
481 1766 3
481 541 3
461 1467 5
461 1217 2
448 1657 2
448 1407 2
445 998 1
445 498 2
445 367 3
445 267 3
401 1001 2
398 2127 6
398 2047 2
398 1001 1
371 1001 4
351 351 2
338 2367 1
321 2253 2
318 1918 2
317 1498 3
317 453 8
314 2038 1
314 1998 3
314 918 4
311 2161 1
302 2400 1
297 353 1
251 2400 8
251 2160 4
251 1910 2
251 741 3
251 321 4
248 2127 2
241 2400 1
221 721 1
221 467 1
210 371 4
182 721 4
171 466 1
161 2253 2
86 326 1
81 1301 1
